id;employeeId;date;clockIn;lunchStart;lunchEnd;snackStart;snackEnd;clockOut;expectedMinutes;type;note
"d081fe91-bb17-4f60-bca2-20860d7a1325";"27d83b80-0073-41d6-82f3-c7c9dc341db8";"2026-02-11";"2026-02-11T12:57:54+00:00";"2026-02-11T17:49:28+00:00";"2026-02-11T18:48:23+00:00";"2026-02-11T21:32:40+00:00";"2026-02-11T21:47:29+00:00";"2026-02-11T22:04:15+00:00";"480";"WORK";""
"6ad719db-bbb1-44d3-ac02-6fcb9e868dc3";"6c62ccbf-5719-4a03-89cf-3506e5200dd2";"2026-02-11";"2026-02-11T13:21:42+00:00";"2026-02-11T17:49:18+00:00";"2026-02-11T18:49:05+00:00";"2026-02-11T22:08:17+00:00";"2026-02-11T22:09:05+00:00";"2026-02-11T22:09:12+00:00";"480";"WORK";""
"680f16b0-bbd0-4908-82e0-f1c018fb7aac";"27d83b80-0073-41d6-82f3-c7c9dc341db8";"2026-02-12";"2026-02-12T13:12:19+00:00";"2026-02-12T15:34:42+00:00";"2026-02-12T16:30:39+00:00";"2026-02-12T20:29:55+00:00";"2026-02-12T20:45:15+00:00";"2026-02-12T21:20:28+00:00";"480";"WORK";""
"39768e0d-3ecd-49c7-b584-04e64b9ea4c4";"10af27b6-820d-4142-a168-b43e8f261518";"2026-02-12";"2026-02-12T13:12:25+00:00";"2026-02-12T14:00:23+00:00";"2026-02-12T15:00:43+00:00";"2026-02-12T19:33:34+00:00";"2026-02-12T19:48:03+00:00";"2026-02-12T22:01:38+00:00";"480";"WORK";""
"35dad3d5-f1d8-4255-b9af-db1ead96bf16";"6c62ccbf-5719-4a03-89cf-3506e5200dd2";"2026-02-12";"2026-02-12T13:34:41+00:00";"2026-02-12T17:42:11+00:00";"2026-02-12T17:42:15+00:00";"2026-02-12T17:42:17+00:00";"2026-02-12T17:42:19+00:00";"2026-02-12T17:42:21+00:00";"480";"WORK";""
"2801d71e-2da7-4b39-ae0a-78c552fdd298";"10af27b6-820d-4142-a168-b43e8f261518";"2026-02-13";"2026-02-13T13:01:05+00:00";"2026-02-13T14:00:17+00:00";"2026-02-13T15:42:27+00:00";"2026-02-13T19:57:24+00:00";"2026-02-13T20:12:56+00:00";"2026-02-13T21:33:41+00:00";"480";"WORK";""
"e4e71309-a0c0-4355-9f26-4fc77e456b6b";"27d83b80-0073-41d6-82f3-c7c9dc341db8";"2026-02-13";"2026-02-13T13:53:20+00:00";"2026-02-13T17:25:32+00:00";"2026-02-13T18:26:03+00:00";"2026-02-13T21:08:26+00:00";"2026-02-13T21:26:16+00:00";"2026-02-13T22:05:42+00:00";"480";"WORK";""
"f2030508-58c6-436c-8b0b-9b60189bd9f4";"6c62ccbf-5719-4a03-89cf-3506e5200dd2";"2026-02-13";"2026-02-13T13:39:28+00:00";"2026-02-13T19:59:55+00:00";"2026-02-13T20:58:15+00:00";"2026-02-13T22:22:29+00:00";"2026-02-13T22:22:33+00:00";"2026-02-13T22:22:34+00:00";"480";"WORK";""
"9fcece8a-995a-4636-a38b-55cd16d5ff43";"27d83b80-0073-41d6-82f3-c7c9dc341db8";"2026-02-14";"2026-02-14T12:58:35+00:00";"2026-02-14T15:36:05+00:00";"2026-02-14T16:33:33+00:00";"2026-02-14T20:32:09+00:00";"2026-02-14T20:47:12+00:00";"2026-02-14T21:48:01+00:00";"480";"WORK";""
"da4cafde-91ea-4f2a-8a0c-2414492be9fb";"6c62ccbf-5719-4a03-89cf-3506e5200dd2";"2026-02-14";"2026-02-14T12:42:38+00:00";"2026-02-14T16:52:47+00:00";"2026-02-14T17:57:48+00:00";"2026-02-14T20:23:03+00:00";"2026-02-14T20:39:13+00:00";"2026-02-14T21:50:33+00:00";"240";"WORK";""
